meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,mode,centroid,meanfun,label
0.044423739525961174,0.03978613741084234,0.028053705927300512,0.01574609758759961,0.06082851217116035,0.04508241458356074,4.909494779207541,33.278511334367955,0.009906123785612925,0.044423739525961174,0.1260000000000013,male
0.07797458549108655,0.07979182626152463,0.047861025762231155,0.02599858189553297,0.10363980146537462,0.07764121956984164,5.054943894357231,43.051146778739586,0.038052469865280075,0.07797458549108657,0.12899999999999961,male
0.04659382533257305,0.048016680984783844,0.0268913132137031,0.015701468189233278,0.057223694942903754,0.041522226753670476,4.737447684290302,29.98061050981118,0.024520799347471454,0.04659382533257306,0.12799999999999975,male
0.05826853038909822,0.04650683704044093,0.04210019709400926,0.021221982857404776,0.09050281890269056,0.06928083604528579,8.05187390806418,114.50036699267166,0.015652931200440024,0.05826853038909822,0.1309999999999993,male
0.10134967568966101,0.10135487166933009,0.06412057044079517,0.01769122731201383,0.15211754537597236,0.13442631806395852,6.043151934045822,59.077100700182314,0.009804451166810719,0.101349675689661,0.12799999999999703,male
0.04826585762311967,0.0440911096305114,0.030208333333333334,0.012825520833333333,0.07395833333333333,0.0611328125,7.6413831275270745,97.69060637988196,0.008919270833333333,0.048265857623119676,0.1269999999999998,male
0.06473584452076458,0.05329210522761103,0.04916291854072964,0.02080209895052474,0.09949192070631352,0.07868982175578879,4.732636087675325,42.36638447199216,0.0,0.06473584452076458,0.13100000000000195,male
0.033989923919700904,0.03813722220051658,0.018316987708337198,0.01322790559706335,0.038673316153432585,0.025445410556369237,8.140203446031174,99.35623335783116,0.0,0.03398992391970091,0.12700000000000114,male
0.056240220084527386,0.05003177987063487,0.03663127413127413,0.015926640926640926,0.08201013513513514,0.06608349420849421,5.88352960435763,54.93467303568097,0.0,0.056240220084527406,0.1250000000000009,male
0.08897434150661608,0.0653039079079307,0.08375868424783779,0.025757360933881562,0.14109835058367598,0.11534098964979442,3.2066775831843772,20.550537045924234,0.01256557493265277,0.0889743415066161,0.1379999999999965,male
0.06300037595348688,0.0524646358251778,0.05112781954887218,0.021415607985480943,0.08781436349494426,0.06639875550946331,4.295989624491379,27.201750557918842,0.02094892403422349,0.06300037595348687,0.12700000000000097,male
0.0619264974774103,0.061253381340582974,0.0331598823800738,0.019812327029520294,0.08670145295202952,0.06688912592250923,4.594348615352204,30.032881770926917,0.0058161323800738005,0.0619264974774103,0.12800000000000147,male
0.055305823620748415,0.04678851863086492,0.043757250580046404,0.02066415313225058,0.06732163573085846,0.046657482598607886,4.398111270653107,29.234507377388795,0.011202146171693735,0.055305823620748415,0.12799999999999992,male
0.04857576392701884,0.04374080553379686,0.033932135728542916,0.018712574850299403,0.06279108449767133,0.04407850964737193,4.061600186871644,24.416464777532354,0.034597471723220224,0.04857576392701883,0.12800000000000095,male
